rack,pos,plant_ID,strain_ID,exp
C8,7,1,101,1
E12,2,2,317,1
A2,3,3,154,1
E6,2,4,27,1
D7,10,6,540,1
E7,6,7,7B,1
C11,10,8,65,1
C8,2,9,39,1
C12,7,10,34,1
A2,2,11,53,1
E2,2,12,384,1
A1,3,13,80,1
B8,2,14,89,1
A10,7,15,406,1
E9,7,16,199,1
E12,1,17,733B,1
E5,8,19,261,1
B1,4,20,201,1
E5,4,21,277,1
E10,9,22,382,1
B11,4,23,33,1
B8,5,24,278,1
A3,10,25,733A,1
C4,6,26,421,1
E7,5,27,41,1
E9,3,28,25A,1
C9,8,29,93,1
C7,5,31,66,1
D8,5,32,417,1
D5,10,33,36,1
D10,3,35,53,1
A8,3,36,409,1
A2,9,37,189,1
D3,2,38,209,1
E8,7,39,15,1
A3,2,40,177,1
E3,7,41,714B,1
C3,9,42,90B,1
C2,8,43,158A,1
A8,1,44,36,1
F8,2,46,C,1
E4,3,47,184,1
A7,3,48,215,1
D3,8,49,174,1
D11,4,50,710B,1
A12,5,51,525,1
E7,7,52,216,1
D3,3,56,121,1
D4,8,57,409,1
F2,6,58,209,1
A12,4,59,101,1
C7,8,60,C,1
B7,1,61,514,1
D5,7,62,176A,1
F2,3,63,14,1
E11,9,64,319,1
A12,2,65,206,1
B5,9,66,92,1
C1,3,67,733B,1
B12,8,68,169,1
D6,1,69,740A,1
B1,3,70,145,1
A6,3,71,498,1
C8,8,72,53,1
C4,10,74,191,1
D10,7,75,702A,1
C10,6,76,189,1
F1,8,77,748B,1
E2,1,78,32,1
D6,6,79,C,1
B2,1,80,373,1
B2,8,81,69,1
D3,5,82,25A,1
A5,2,83,533,1
A4,7,84,90B,1
B4,6,85,714B,1
A8,8,86,748A,1
E4,2,87,285,1
D6,2,88,533,1
E12,9,89,523,1
A10,10,91,384,1
B3,4,92,386,1
D3,6,93,710A,1
A1,8,94,526,1
A2,10,95,65,1
A5,4,96,335,1
B10,8,97,87,1
A9,3,98,746B,1
A9,5,99,422,1
A6,10,100,245,1
D6,10,101,476,1
B3,1,102,93,1
E4,8,103,154,1
D8,3,104,8,1
C1,6,105,722B,1
C10,1,106,748B,1
D4,5,107,62,1
D9,2,108,89,1
B8,10,110,6A,1
C5,6,111,17,1
C10,7,112,141,1
D1,7,113,320,1
A12,1,114,83,1
E11,5,117,313,1
C10,2,118,717A,1
C3,10,120,513,1
D8,2,121,43,1
C9,10,122,746A,1
D10,4,123,342,1
A9,6,124,285,1
B8,8,125,276,1
A9,9,126,216,1
F1,7,127,26,1
A1,7,128,259,1
B7,3,129,66,1
B12,6,130,386,1
E9,2,132,177,1
C11,9,133,238,1
B10,5,134,247,1
A10,6,135,382,1
D1,3,137,48,1
B6,7,138,372,1
D7,4,139,513,1
E3,3,140,31,1
B7,5,142,701A,1
D2,5,144,733A,1
A4,5,145,73,1
B1,10,147,238,1
D11,2,148,406,1
D3,7,149,557,1
E6,10,150,372,1
D4,7,151,86,1
A6,4,152,209,1
B6,5,154,21,1
A6,9,155,243A,1
D12,3,156,16,1
B8,4,157,748B,1
D10,8,158,522,1
A10,2,159,39,1
B2,5,160,17,1
C12,5,161,83,1
C5,7,162,303,1
B11,5,163,342,1
C8,5,164,245,1
C12,9,165,524,1
D1,6,166,755B,1
F2,7,167,36,1
D11,9,168,526,1
D5,8,169,9,1
C11,2,171,C,1
C9,2,173,90A,1
E6,3,175,215,1
B7,9,176,38,1
E3,5,177,524,1
E1,5,178,148A,1
B6,1,179,26,1
F1,6,180,93,1
A9,2,181,C,1
E9,6,182,101,1
B10,6,183,724A,1
E1,3,186,231,1
C1,10,187,753A,1
A8,6,188,740A,1
B11,2,189,384,1
A10,3,190,25B,1
A11,1,191,42,1
A5,3,192,717A,1
D12,5,193,114,1
C11,7,194,514,1
E9,9,195,322,1
E11,4,196,201,1
B11,8,197,276,1
D12,9,198,142,1
D8,10,199,117B,1
D11,8,200,40,1
C5,8,201,231,1
D4,4,202,25B,1
C1,7,203,6B,1
E7,8,204,174,1
B12,7,205,18,1
B3,6,206,358,1
D9,8,207,386,1
D12,10,208,86,1
C11,4,209,92,1
D8,4,210,318,1
B5,8,211,317,1
C9,9,212,144B,1
C3,3,214,317,1
B9,9,215,701A,1
A5,6,216,722A,1
E1,2,217,72,1
F2,2,218,192C,1
A8,2,219,205,1
A5,9,220,72,1
E2,6,221,525,1
D12,7,222,749B,1
F1,5,223,80,1
E8,1,224,6B,1
B2,4,225,261,1
E3,9,226,146,1
B8,6,228,194,1
B2,6,229,541,1
C3,4,230,372,1
E5,7,231,325,1
B1,1,232,10,1
F2,1,235,714A,1
A7,10,236,540,1
A10,5,237,243B,1
C10,8,238,21,1
D2,10,239,724B,1
A6,1,240,148B,1
E5,10,243,7A,1
B1,9,244,530,1
A5,8,245,746A,1
D11,1,246,69,1
B11,7,247,85,1
D7,9,249,242,1
B10,9,250,336,1
E3,10,251,73,1
B12,1,252,7B,1
B3,9,253,755A,1
E4,6,254,123,1
C2,7,255,220,1
B7,8,256,8,1
D2,9,257,541,1
A4,6,258,522,1
A3,9,259,40,1
C1,5,262,206,1
E9,4,263,219,1
E6,1,265,71,1
C1,1,267,530,1
A2,5,269,182,1
A5,5,270,32,1
C5,2,271,319,1
E3,4,272,144A,1
D6,4,273,303,1
D8,7,274,755B,1
C6,3,275,722A,1
A10,8,276,158B,1
C6,10,277,540,1
C3,8,279,16,1
A4,4,280,230,1
B1,8,281,513,1
B11,3,282,67,1
A3,5,283,146,1
E8,10,284,421,1
A11,9,285,714A,1
C3,1,286,54,1
D3,10,287,277,1
C3,5,289,117B,1
C12,10,290,38,1
A7,5,292,87,1
F2,5,294,6A,1
C9,1,295,358,1
A8,9,297,336,1
C4,9,298,71,1
A6,5,299,726A,1
E2,9,300,283,1
E12,10,302,144B,1
B7,6,303,183,1
E12,3,304,5,1
C11,8,305,525,1
A7,8,306,18,1
E9,10,307,498,1
E2,4,308,200,1
B5,2,310,486,1
D8,8,311,148B,1
A10,9,312,739A,1
D10,5,313,717A,1
E7,3,314,320,1
D11,6,317,78,1
D8,6,318,420,1
B4,1,319,283,1
E1,7,320,34,1
D10,2,321,169,1
D11,10,322,739A,1
B4,4,323,121,1
D4,9,324,749A,1
A4,3,325,523,1
C5,3,326,15,1
E12,6,328,79,1
D9,1,329,230,1
C2,3,330,261,1
C11,1,333,182,1
C1,4,334,726B,1
D3,9,336,221,1
B4,7,337,417,1
D2,4,338,498,1
E1,10,339,710A,1
E6,5,340,24,1
A3,8,341,246,1
E7,10,342,726B,1
E2,10,343,238,1
A12,3,344,225,1
E4,5,345,282,1
B3,7,346,176B,1
B11,9,347,225,1
D6,8,348,145,1
A10,1,349,231,1
D6,9,350,753A,1
C4,4,351,702A,1
E3,8,352,46,1
D1,2,353,243B,1
A9,4,354,141,1
E6,6,355,533,1
F1,10,356,191,1
C1,9,357,755A,1
E4,1,358,246,1
D3,4,359,41,1
E10,3,360,248,1
C9,5,361,243A,1
E7,2,362,701A,1
B12,4,363,57,1
A7,2,364,303,1
C2,5,365,201,1
A6,2,366,6B,1
A10,4,367,258,1
A8,5,368,524,1
D5,9,369,248,1
C2,1,370,26,1
A11,6,371,C,1
D10,1,372,276,1
C7,2,373,142,1
D12,2,375,541,1
E6,8,376,722B,1
C5,1,377,373,1
D6,5,380,25B,1
B2,10,381,325,1
D2,8,382,C,1
B1,2,383,142,1
B4,10,384,320,1
E11,1,385,286,1
D1,5,386,714A,1
B6,6,387,97,1
C7,3,388,27,1
E1,9,389,62,1
E8,9,390,176A,1
E7,9,393,204,1
C6,2,394,322,1
B12,3,395,748A,1
C2,10,396,177,1
B10,1,397,382,1
F11,9,398,C,1
A8,10,399,31,1
D8,1,401,557,1
A8,7,402,114,1
B5,4,403,313,1
C10,4,405,46,1
C8,1,407,701B,1
C9,7,408,40,1
E9,1,409,183,1
A7,4,410,169,1
B9,3,411,27,1
D7,8,412,90A,1
E4,9,413,514,1
B5,1,414,247,1
F12,10,415,C,1
C3,2,417,230,1
E10,10,419,205,1
A3,6,420,192C,1
C2,6,421,335,1
B3,5,422,749A,1
D2,1,423,42,1
A5,1,424,200,1
B11,6,426,C,1
D9,7,427,194,1
E7,4,428,740A,1
A9,1,429,539,1
D1,10,430,422,1
C10,3,432,282,1
D1,9,433,69,1
A1,5,434,733B,1
C5,5,436,325,1
D9,10,438,724B,1
B11,1,439,246,1
D5,3,440,154,1
B6,9,441,33,1
A1,2,442,242,1
B3,8,443,82,1
B5,10,444,157,1
C4,2,445,89,1
E11,8,446,65,1
E11,7,447,722A,1
D6,3,448,243B,1
B10,3,449,526,1
D7,7,450,336,1
E3,1,452,724A,1
D6,7,454,749C,1
A9,7,455,281,1
E2,7,456,121,1
C6,6,457,726A,1
E1,8,458,38,1
E11,6,461,258,1
C12,8,463,508,1
B3,2,464,144B,1
D9,5,465,746B,1
E5,1,466,225,1
A11,4,467,221,1
C7,7,468,5,1
E12,5,469,82,1
E11,2,471,278,1
C6,4,472,318,1
C4,8,473,157,1
D9,4,474,C,1
A11,5,475,148A,1
E1,4,476,422,1
B10,4,477,6A,1
A12,6,478,84,1
C6,5,479,144A,1
B3,10,482,342,1
D4,1,483,539,1
D7,2,484,245,1
D1,4,487,35,1
C12,3,488,710B,1
D2,6,489,259,1
E2,5,491,84,1
A5,7,492,14,1
D10,6,493,83,1
D11,5,494,158A,1
A4,10,495,204,1
B9,2,496,219,1
E3,6,497,746A,1
B9,8,498,739A,1
A2,4,499,79,1
B3,3,501,C,1
D4,10,502,242,1
E4,10,503,182,1
B9,10,504,148B,1
E8,4,505,748A,1
D9,9,506,9,1
C12,2,507,406,1
A3,4,509,722B,1
C12,4,512,C,1
B5,5,513,701B,1
D2,7,514,59,1
E10,5,515,10,1
D4,6,516,714B,1
A12,10,517,421,1
C12,1,518,7A,1
A6,8,521,35,1
B12,9,522,194,1
D7,5,523,358,1
C5,4,524,73,1
A7,7,525,67,1
D12,8,526,48,1
D11,3,527,335,1
A12,7,528,191,1
E12,4,529,C,1
D12,6,531,35,1
D2,3,532,746B,1
A2,1,533,724B,1
E11,10,534,749A,1
B6,4,535,71,1
C6,7,536,476,1
D3,1,537,258,1
C5,10,538,749B,1
C3,6,539,43,1
C9,6,540,14,1
A11,2,542,88,1
B11,10,543,79,1
C11,6,544,82,1
B9,5,545,24,1
E10,8,546,373,1
A4,1,547,34,1
E8,3,548,701B,1
F2,4,549,66,1
D12,4,550,57,1
A11,10,551,286,1
A4,2,552,753A,1
E7,1,553,87,1
A9,8,554,199,1
A2,7,556,43,1
B7,4,557,78,1
D10,10,558,158B,1
C9,4,559,216,1
E6,9,560,42,1
E8,5,561,92,1
E11,3,562,C,1
A1,10,563,48,1
E12,8,564,755A,1
B9,7,565,C,1
A11,8,568,15,1
B2,7,569,46,1
E10,4,570,18,1
A11,3,571,322,1
C4,1,572,278,1
E6,7,574,157,1
C8,9,575,72,1
B12,5,577,205,1
E8,6,578,259,1
B8,1,579,749B,1
B4,3,581,192D,1
A12,8,582,248,1
D7,3,583,220,1
B1,7,585,508,1
E9,8,587,247,1
B10,10,589,148A,1
B12,2,590,200,1
D5,1,591,523,1
A11,7,593,318,1
E5,3,594,59,1
B1,5,595,755B,1
D5,6,596,184,1
A7,1,597,319,1
B5,3,598,184,1
E10,2,600,726A,1
C8,3,603,204,1
A7,9,604,62,1
E4,7,605,733A,1
C3,7,606,749C,1
C2,4,608,32,1
F1,1,610,54,1
F1,2,611,97,1
D5,2,612,84,1
B12,10,614,199,1
B7,2,617,174,1
D10,9,618,409,1
B9,4,620,486,1
B7,10,621,57,1
B2,9,622,158A,1
B10,7,623,114,1
C9,3,624,420,1
E5,2,625,141,1
B4,5,626,476,1
B4,2,627,123,1
E6,4,628,C,1
C1,2,629,286,1
E4,4,630,539,1
E10,1,631,67,1
D8,9,632,486,1
D1,8,633,C,1
A6,6,634,557,1
C6,8,635,10,1
C6,1,636,215,1
F1,9,637,221,1
A1,6,638,59,1
A8,4,639,7A,1
B9,6,642,522,1
B6,10,643,5,1
A1,1,644,16,1
A1,9,645,24,1
E3,2,646,17,1
C4,5,650,285,1
C12,6,652,31,1
B5,7,653,90A,1
F1,3,655,21,1
D2,2,656,313,1
E1,1,658,85,1
C7,1,660,183,1
A4,8,662,86,1
E12,7,663,39,1
B6,3,665,41,1
E5,5,666,189,1
B8,3,668,726B,1
B8,9,669,54,1
B9,1,670,9,1
B8,7,671,749C,1
C10,10,672,88,1
D4,2,674,219,1
C7,10,675,78,1
A9,10,676,277,1
E5,6,677,90B,1
C2,2,678,80,1
B6,2,679,220,1
A2,8,680,710A,1
E2,8,681,281,1
C7,4,682,417,1
A3,3,683,710B,1
B4,8,685,176A,1
B2,3,686,7B,1
E9,5,687,508,1
B6,8,688,420,1
A7,6,689,724A,1
A3,7,690,85,1
C10,5,692,192C,1
A4,9,693,25A,1
E5,9,694,33,1
A5,10,695,117B,1
C8,10,696,192D,1
C4,7,699,176B,1
D4,3,700,283,1
F1,4,702,192D,1
A12,9,703,144A,1
C7,6,704,281,1
D1,1,705,146,1
D9,6,706,243A,1
C6,9,707,C,1
A1,4,708,702A,1
A2,6,709,282,1
B10,2,710,145,1
D9,3,711,206,1
C10,9,712,158B,1
E8,8,713,176B,1
C1,8,714,123,1
C2,9,715,C,1
E1,6,716,530,1
D11,7,717,88,1
C11,3,719,97,1
D5,5,720,8,1
F11,NA,c1,C,1
F11,NA,c10,C,1
F11,NA,c11,C,1
F11,NA,c12,C,1
F11,NA,c13,C,1
F11,NA,c14,C,1
F11,NA,c15,C,1
F11,NA,c16,C,1
F11,NA,c17,C,1
F11,NA,c18,C,1
F11,NA,c19,C,1
F11,NA,c2,C,1
F11,NA,c20,C,1
F11,NA,c21,C,1
F11,NA,c22,C,1
F11,NA,c23,C,1
F11,NA,c24,C,1
F11,NA,c25,C,1
F11,NA,c26,C,1
F11,NA,c27,C,1
F11,NA,c28,C,1
F11,NA,c29,C,1
F11,NA,c3,C,1
F11,NA,c30,C,1
F11,NA,c31,C,1
F11,NA,c32,C,1
F11,NA,c33,C,1
F11,NA,c34,C,1
F11,NA,c35,C,1
F11,NA,c36,C,1
F11,NA,c37,C,1
F11,NA,c38 ,C,1
F12,NA,c39,C,1
F11,NA,c4,C,1
F13,NA,c40,C,1
F14,NA,c41,C,1
F15,NA,c42,C,1
F16,NA,c43,C,1
F17,NA,c44,C,1
F18,NA,c45,C,1
F19,NA,c46,C,1
F20,NA,c47,C,1
F21,NA,c48,C,1
F22,NA,c49,C,1
F11,NA,c5,C,1
F23,NA,c50 ,C,1
F24,NA,c52,C,1
F11,NA,c6,C,1
F11,NA,c7,C,1
F11,NA,c8,C,1
F11,NA,c9,C,1
A1,1,721,189,2
A1,2,722,755A,2
A1,4,724,701B,2
A1,5,725,245,2
A1,6,726,216,2
A1,7,727,739A,2
A1,8,728,303,2
A1,9,729,746A,2
A1,10,730,261,2
A2,1,731,245,2
A2,2,732,59,2
A2,3,733,358,2
A2,4,734,84,2
A2,5,735,755B,2
A2,6,736,513,2
A2,7,737,219,2
A2,8,738,342,2
A2,9,739,69,2
A2,10,740,40,2
A3,1,741,722A,2
A3,2,742,755A,2
A3,3,743,386,2
A3,4,744,325,2
A3,5,745,18,2
A3,6,746,204,2
A3,7,747,145,2
A3,8,748,80,2
A3,9,749,200,2
A3,10,750,277,2
A4,1,751,525,2
A4,2,752,25A,2
A4,3,753,10,2
A4,4,754,539,2
A4,5,755,243B,2
A4,6,756,79,2
A4,7,757,80,2
A4,8,758,199,2
A4,9,759,486,2
A4,10,760,38,2
A5,1,761,15,2
A5,2,762,247,2
A5,3,763,372,2
A5,4,764,225,2
A5,5,765,220,2
A5,6,766,508,2
A5,7,767,710B,2
A5,8,768,225,2
C13,NA,769,CC83,2
A5,10,770,67,2
A6,1,771,17,2
A6,2,772,702A,2
A6,3,773,724A,2
A6,4,774,57,2
A6,5,775,182,2
A6,6,776,C34,2
A6,7,777,523,2
A6,8,778,66,2
A6,9,779,31,2
A6,10,780,85,2
A7,1,781,231,2
A7,2,782,714A,2
A7,3,783,282,2
A7,4,784,242,2
A7,5,785,749B,2
A7,6,786,CC74,2
A7,7,787,59,2
A7,8,788,733B,2
C13,NA,789,CC77,2
A7,10,790,277,2
A8,1,791,230,2
A8,2,792,247,2
A8,3,793,278,2
A8,4,794,261,2
A8,5,795,57,2
A8,6,796,34,2
A8,7,797,322,2
A8,8,798,182,2
A8,9,799,757A,2
A8,10,800,25B,2
A9,1,801,192C,2
A9,2,802,243A,2
A9,3,803,373,2
A9,4,804,157,2
A9,5,805,530,2
A9,6,806,59,2
A9,7,807,10,2
A9,8,808,54,2
A9,9,809,757C,2
A9,10,810,755A,2
A10,1,811,230,2
A10,2,812,498,2
A10,3,813,541,2
A10,4,814,524,2
A10,5,815,319,2
A10,6,816,158A,2
A10,7,817,CC71,2
A10,8,818,325,2
A10,9,819,176A,2
A10,10,820,53,2
A11,1,821,C22,2
A11,2,822,243B,2
A11,3,823,358,2
A11,4,824,200,2
A11,5,825,749A,2
A11,6,826,25B,2
A11,7,827,92,2
A11,8,828,749B,2
A11,9,829,142,2
A11,10,830,702A,2
A12,1,831,157,2
A12,2,832,C32,2
A12,3,833,194,2
A12,4,834,123,2
A12,5,835,86,2
A12,6,836,201,2
A12,7,837,758A,2
A12,8,838,43,2
A12,9,839,755A,2
A12,10,840,220,2
B1,1,841,24,2
B1,2,842,526,2
B1,3,843,73,2
B1,4,844,33,2
B1,5,845,701B,2
B1,6,846,73,2
B1,7,847,183,2
B1,8,848,714A,2
B1,9,849,722A,2
B1,10,850,199,2
B2,1,851,15,2
B2,2,852,57,2
B2,3,853,174,2
B2,4,854,243A,2
B2,5,855,221,2
B2,6,856,169,2
B2,7,857,90B,2
C13,NA,858,CC80,2
B2,9,859,530,2
B2,10,860,83,2
B3,1,861,761A,2
B3,2,862,219,2
B3,3,863,761A,2
B3,4,864,358,2
B3,5,865,157,2
B3,6,866,6B,2
B3,7,867,79,2
B3,8,868,541,2
B3,9,869,21,2
B3,10,870,278,2
B4,1,871,86,2
B4,2,872,205,2
B4,3,873,CC72,2
B4,4,874,31,2
B4,5,875,192C,2
B4,6,876,189,2
B4,7,877,215,2
B4,8,878,714A,2
B4,9,879,526,2
B4,10,880,421,2
B5,1,881,317,2
B5,2,882,231,2
B5,3,883,417,2
B5,4,884,148B,2
B5,5,885,69,2
B5,6,886,746A,2
B5,7,887,420,2
B5,8,888,216,2
B5,9,889,422,2
B5,10,890,514,2
B6,1,891,146,2
B6,2,892,522,2
B6,3,893,C37,2
B6,4,894,722A,2
B6,5,895,62,2
B6,6,896,755A,2
B6,7,897,C29,2
B6,8,898,702A,2
B6,9,899,42,2
B6,10,900,513,2
B7,1,901,283,2
B7,2,902,303,2
B7,3,903,281,2
B7,4,904,758A,2
B7,5,905,6A,2
B7,6,906,322,2
B7,7,907,144B,2
B7,8,908,276,2
B7,9,909,710A,2
B7,10,910,33,2
B8,1,911,259,2
B8,2,912,317,2
B8,3,913,65,2
B8,4,914,748B,2
B8,5,915,530,2
B8,6,916,422,2
B8,7,917,714B,2
B8,8,918,183,2
B8,9,919,530,2
B8,10,920,761A,2
B9,1,921,740A,2
B9,2,922,38,2
B9,3,923,746B,2
B9,4,924,384,2
B9,5,925,84,2
B9,6,926,82,2
B9,7,927,761A,2
B9,8,928,221,2
B9,9,929,406,2
B9,10,930,145,2
B10,1,931,184,2
B10,2,932,522,2
B10,3,933,710B,2
B10,4,934,409,2
B10,5,935,373,2
B10,6,936,40,2
B10,7,937,158A,2
B10,8,938,406,2
B10,9,939,746B,2
B10,10,940,246,2
B11,1,941,C35,2
B11,2,942,24,2
B11,3,943,90A,2
B11,4,944,753A,2
B11,5,945,277,2
B11,6,946,523,2
B11,7,947,557,2
B11,8,948,748B,2
B11,9,949,7B,2
B11,10,950,247,2
B12,1,951,710B,2
B12,2,952,746A,2
B12,3,953,749C,2
B12,4,954,148B,2
B12,5,955,762A,2
B12,6,956,757C,2
B12,7,957,43,2
B12,8,958,508,2
B12,9,959,522,2
B12,10,960,258,2
C1,1,961,9,2
C1,2,962,726B,2
C1,3,963,757C,2
C1,4,964,146,2
C1,5,965,154,2
C1,6,966,335,2
C1,7,967,386,2
C1,8,968,225,2
C1,9,969,259,2
C1,10,970,276,2
C2,1,971,71,2
C2,2,972,90A,2
C2,3,973,557,2
C2,4,974,220,2
C2,5,975,148A,2
C2,6,976,199,2
C2,7,977,758A,2
C2,8,978,318,2
C2,9,979,259,2
C2,10,980,32,2
C3,1,981,35,2
C3,2,982,5,2
C3,3,983,318,2
C3,4,984,382,2
C3,5,985,205,2
C3,6,986,67,2
C3,7,987,533,2
C3,8,988,283,2
C3,9,989,33,2
C3,10,990,80,2
C4,1,991,16,2
C4,2,992,148B,2
C4,3,993,16,2
C4,4,994,25B,2
C4,5,995,476,2
C4,6,996,97,2
C4,7,997,726B,2
C4,8,998,557,2
C4,9,999,8,2
C4,10,1000,533,2
C5,1,1001,757A,2
C5,2,1002,25B,2
C5,3,1003,221,2
C5,4,1004,522,2
C5,5,1005,259,2
C5,6,1006,422,2
C5,7,1007,219,2
C5,8,1008,176A,2
C5,9,1009,524,2
C5,10,1010,258,2
C6,1,1011,336,2
C6,2,1012,313,2
C6,3,1013,245,2
C6,4,1014,177,2
C6,5,1015,722A,2
C6,6,1016,755A,2
C6,7,1017,406,2
C6,8,1018,281,2
C6,9,1019,753A,2
C6,10,1020,90A,2
C7,1,1021,78,2
C7,2,1022,762A,2
C13,NA,1023,CC86,2
C7,4,1024,498,2
C7,5,1025,121,2
C7,6,1026,758A,2
C7,7,1027,758A,2
C7,8,1028,758A,2
C7,9,1029,238,2
C7,10,1030,342,2
C8,1,1031,757A,2
C8,2,1032,281,2
C8,3,1033,710A,2
C8,4,1034,92,2
C8,5,1035,285,2
C8,6,1036,539,2
C8,7,1037,72,2
C8,8,1038,420,2
C8,9,1039,62,2
C8,10,1040,722B,2
C9,1,1041,761A,2
C9,2,1042,34,2
C9,3,1043,523,2
C9,4,1044,121,2
C9,5,1045,701A,2
C9,6,1046,761A,2
C9,7,1047,242,2
C9,8,1048,278,2
C9,9,1049,739A,2
C9,10,1050,409,2
C10,1,1051,486,2
C10,2,1052,420,2
C10,3,1053,248,2
C10,4,1054,762A,2
C10,5,1055,5,2
C10,6,1056,176B,2
C10,7,1057,46,2
C10,8,1058,117B,2
C10,9,1059,114,2
C10,10,1060,277,2
C11,1,1061,753A,2
C11,2,1062,CC73,2
C11,3,1063,144A,2
C11,4,1064,248,2
C11,5,1065,243A,2
C11,6,1066,C38,2
C11,7,1067,336,2
C11,8,1068,66,2
C11,9,1069,27,2
C11,10,1070,717A,2
C12,1,1071,319,2
C12,2,1072,117B,2
C12,3,1073,219,2
