rack,pos,plant_ID,strain_ID,exp
C12,4,1074,755B,2
C12,5,1075,417,2
C12,6,1076,5,2
C12,7,1077,142,2
C12,8,1078,201,2
C12,9,1079,523,2
C12,10,1080,313,2
D1,1,1081,540,2
D1,2,1082,757C,2
D1,3,1083,285,2
D1,4,1084,372,2
D1,5,1085,67,2
D1,6,1086,508,2
D1,7,1087,238,2
D1,8,1088,C33,2
D1,9,1089,32,2
D1,10,1090,373,2
D2,1,1091,39,2
C13,NA,1092,CC99,2
D2,3,1093,123,2
D2,4,1094,9,2
D2,5,1095,726A,2
D2,6,1096,318,2
D2,7,1097,177,2
D2,8,1098,36,2
D2,9,1099,513,2
D2,10,1100,54,2
D3,1,1101,192D,2
D3,2,1102,733A,2
D3,3,1103,714B,2
D3,4,1104,174,2
D3,5,1105,753A,2
D3,6,1106,733A,2
C13,NA,1107,CC82,2
D3,8,1108,73,2
D3,9,1109,762A,2
D3,10,1110,C31,2
D4,1,1111,C40,2
D4,2,1112,541,2
D4,3,1113,46,2
D4,4,1114,36,2
D4,5,1115,26,2
D4,6,1116,740A,2
D4,7,1117,420,2
D4,8,1118,514,2
D4,9,1119,749C,2
D4,10,1120,701A,2
D5,1,1121,726A,2
D5,2,1122,757A,2
D5,3,1123,16,2
D5,4,1124,525,2
D5,5,1125,121,2
D5,6,1126,320,2
D5,7,1127,722B,2
D5,8,1128,281,2
D5,9,1129,206,2
D5,10,1130,25B,2
D6,1,1131,710A,2
D6,2,1132,154,2
D6,3,1133,358,2
D6,4,1134,27,2
D6,5,1135,21,2
D6,6,1136,342,2
D6,7,1137,7A,2
D6,8,1138,41,2
D6,9,1139,242,2
D6,10,1140,384,2
D7,1,1141,204,2
D7,2,1142,48,2
D7,3,1143,36,2
D7,4,1144,209,2
D7,5,1145,313,2
D7,6,1146,176B,2
D7,7,1147,90B,2
D7,8,1148,336,2
D7,9,1149,221,2
D7,10,1150,755A,2
D8,1,1151,204,2
D8,2,1152,514,2
D8,3,1153,87,2
D8,4,1154,526,2
D8,5,1155,158A,2
D8,6,1156,748A,2
D8,7,1157,533,2
D8,8,1158,79,2
D8,9,1159,722B,2
D8,10,1160,71,2
D9,1,1161,539,2
D9,2,1162,325,2
D9,3,1163,525,2
D9,4,1164,144A,2
D9,5,1165,144B,2
C13,NA,1166,CC88,2
D9,7,1167,409,2
D9,8,1168,318,2
D9,9,1169,26,2
D9,10,1170,748A,2
D10,1,1171,382,2
D10,2,1172,761A,2
D10,3,1173,114,2
D10,4,1174,746A,2
D10,5,1175,C27,2
D10,6,1176,278,2
D10,7,1177,62,2
D10,8,1178,248,2
D10,9,1179,35,2
D10,10,1180,243B,2
D11,1,1181,382,2
D11,2,1182,231,2
D11,3,1183,177,2
D11,4,1184,286,2
D11,5,1185,724B,2
D11,6,1186,142,2
D11,7,1187,17,2
D11,8,1188,342,2
D11,9,1189,286,2
D11,10,1190,524,2
D12,1,1191,66,2
D12,2,1192,176B,2
D12,3,1193,42,2
D12,4,1194,286,2
D12,5,1195,83,2
D12,6,1196,286,2
D12,7,1197,276,2
D12,8,1198,325,2
D12,9,1199,749B,2
D12,10,1200,714B,2
E1,1,1201,749A,2
E1,2,1202,733A,2
E1,3,1203,283,2
E1,4,1204,541,2
E1,5,1205,25A,2
E1,6,1206,748A,2
E1,7,1207,722B,2
E1,8,1208,6A,2
E1,9,1209,85,2
E1,10,1210,762A,2
E2,1,1211,533,2
C13,NA,1212,CC84,2
E2,3,1213,C21,2
E2,4,1214,749B,2
E2,5,1215,406,2
E2,6,1216,114,2
E2,7,1217,386,2
E2,8,1218,313,2
E2,9,1219,158B,2
E2,10,1220,21,2
E3,1,1221,476,2
E3,2,1222,84,2
E3,3,1223,14,2
E3,4,1224,285,2
E3,5,1225,422,2
E3,6,1226,CC70,2
E3,7,1227,246,2
E3,8,1228,101,2
E3,9,1229,248,2
E3,10,1230,246,2
E4,1,1231,319,2
E4,2,1232,194,2
E4,3,1233,717A,2
E4,4,1234,18,2
E4,5,1235,702A,2
E4,6,1236,48,2
E4,7,1237,421,2
E4,8,1238,200,2
E4,9,1239,C23,2
E4,10,1240,158B,2
E5,1,1241,498,2
E5,2,1242,384,2
E5,3,1243,123,2
E5,4,1244,C24,2
E5,5,1245,757A,2
E5,6,1246,169,2
E5,7,1247,7B,2
E5,8,1248,72,2
E5,9,1249,317,2
E5,10,1250,220,2
E6,1,1251,18,2
E6,2,1252,726B,2
E6,3,1253,714B,2
E6,4,1254,755B,2
E6,5,1255,31,2
E6,6,1256,184,2
E6,7,1257,34,2
E6,8,1258,215,2
E6,9,1259,83,2
E6,10,1260,717A,2
E7,1,1261,755A,2
E7,2,1262,141,2
E7,3,1263,78,2
E7,4,1264,724B,2
E7,5,1265,7A,2
E7,6,1266,97,2
C13,NA,1267,CC87,2
E7,8,1268,82,2
E7,9,1269,54,2
E7,10,1270,421,2
E8,1,1271,701B,2
E8,2,1272,757C,2
E8,3,1273,230,2
E8,4,1274,101,2
E8,5,1275,243A,2
E8,6,1276,82,2
E8,7,1277,386,2
E8,8,1278,32,2
E8,9,1279,282,2
E8,10,1280,322,2
E9,1,1281,69,2
C13,NA,1282,CC79,2
E9,3,1283,10,2
E9,4,1284,41,2
E9,5,1285,320,2
E9,6,1286,417,2
E9,7,1287,191,2
C13,NA,1288,CC90,2
E9,9,1289,146,2
E9,10,1290,176A,2
E10,1,1291,209,2
E10,2,1292,372,2
E10,3,1293,192D,2
E10,4,1294,101,2
E10,5,1295,724B,2
E10,6,1296,524,2
E10,7,1297,486,2
E10,8,1298,225,2
E10,9,1299,724B,2
E10,10,1300,205,2
E11,1,1301,476,2
E11,2,1302,755A,2
E11,3,1303,762A,2
E11,4,1304,758A,2
E11,5,1305,514,2
E11,6,1306,755B,2
E11,7,1307,231,2
C13,NA,1308,CC85,2
E11,9,1309,740A,2
E11,10,1310,8,2
E12,1,1311,17,2
E12,2,1312,245,2
E12,3,1313,748B,2
E12,4,1314,42,2
E12,5,1315,72,2
E12,6,1316,749A,2
E12,7,1317,144B,2
E12,8,1318,557,2
E12,9,1319,319,2
E12,10,1320,191,2
F1,1,1321,320,2
F1,2,1322,78,2
F1,3,1323,169,2
F1,4,1324,382,2
F1,5,1325,6B,2
F1,6,1326,724A,2
F1,7,1327,540,2
F1,8,1328,71,2
F1,9,1329,733B,2
F1,10,1330,6A,2
F2,1,1331,317,2
F2,2,1332,215,2
F2,3,1333,498,2
F2,4,1334,141,2
F2,5,1335,90B,2
F2,6,1336,242,2
F2,7,1337,144A,2
F2,8,1338,41,2
F2,9,1339,373,2
F2,10,1340,733B,2
F3,1,1341,710B,2
F3,2,1342,276,2
F3,3,1343,322,2
F3,4,1344,35,2
F3,5,1345,258,2
F3,6,1346,748B,2
F3,7,1347,540,2
F3,8,1348,39,2
F3,9,1349,755A,2
F3,10,1350,726B,2
F4,1,1351,710A,2
F4,2,1352,145,2
F4,3,1353,303,2
F4,4,1354,409,2
F4,5,1355,183,2
F4,6,1356,726A,2
F4,7,1357,733A,2
F4,8,1358,238,2
F4,9,1359,8,2
F4,10,1360,C25,2
F5,1,1361,38,2
F5,2,1362,86,2
F5,3,1363,48,2
F5,4,1364,206,2
F5,5,1365,701B,2
F5,6,1366,87,2
F5,7,1367,757A,2
F5,8,1368,540,2
F5,9,1369,335,2
F5,10,1370,740A,2
F6,1,1371,701A,2
F6,2,1372,285,2
F6,3,1373,258,2
F6,4,1374,701A,2
F6,5,1375,88,2
F6,6,1376,724A,2
F6,7,1377,336,2
F6,8,1378,C26,2
F6,9,1379,733B,2
F6,10,1380,261,2
F7,1,1381,141,2
F7,2,1382,724A,2
F7,3,1383,757C,2
F7,4,1384,417,2
F7,5,1385,717A,2
C13,NA,1386,CC78,2
F7,7,1387,757C,2
F7,8,1388,283,2
F7,9,1389,526,2
F7,10,1390,201,2
F8,1,1391,158B,2
F8,2,1392,194,2
F8,3,1393,755A,2
F8,4,1394,486,2
F8,5,1395,525,2
F8,6,1396,93,2
F8,7,1397,C28,2
F8,8,1398,749C,2
F8,9,1399,25A,2
F8,10,1400,539,2
F9,1,1401,320,2
F9,2,1402,209,2
F9,3,1403,757A,2
C13,NA,1404,CC81,2
F9,5,1405,243B,2
F9,6,1406,748A,2
F9,7,1407,27,2
F9,8,1408,144B,2
F9,9,1409,92,2
F9,10,1410,46,2
F10,1,1411,384,2
F10,2,1412,85,2
F10,3,1413,508,2
F10,4,1414,87,2
F10,5,1415,C39,2
F10,6,1416,192D,2
F10,7,1417,238,2
F10,8,1418,C30,2
F10,9,1419,65,2
F10,10,1420,714A,2
F11,1,1421,247,2
F11,2,1422,93,2
F11,3,1423,148A,2
F11,4,1424,726A,2
F11,5,1425,746B,2
F11,6,1426,230,2
F11,7,1427,261,2
F11,8,1428,746B,2
F11,9,1429,513,2
F11,10,1430,749C,2
F12,1,1431,117B,2
F12,2,1432,93,2
F12,3,1433,282,2
F12,4,1434,14,2
F12,5,1435,14,2
F12,6,1436,206,2
F12,7,1437,762A,2
F12,8,1438,191,2
F12,9,1439,739A,2
F12,10,1440,24,2
A13,1,1441,216,2
A13,2,1442,39,2
A13,3,1443,192C,2
A13,4,1444,53,2
A13,5,1445,421,2
A13,6,1446,749A,2
A13,7,1447,15,2
A13,8,1448,40,2
A13,9,1449,154,2
A13,10,1450,43,2
B13,1,1451,739A,2
C13,NA,1452,CC75,2
B13,3,1453,9,2
B13,4,1454,174,2
C13,NA,1455,CC76,2
B13,6,1456,53,2
B13,7,1457,7B,2
B13,8,1458,189,2
B13,9,1459,C36,2
B13,10,1460,335,2
E13,1,1461,335,2
E13,2,1462,65,2
E13,3,1463,372,2
E13,4,1464,26,2
E13,5,1465,7A,2
E13,6,1466,184,2
E13,7,1467,97,2
E13,8,1468,246,2
E13,9,1469,303,2
E13,10,1470,6B,2
E13,11,1471,182,2
A1,2,1501,7A,3
A1,3,1502,32,3
A1,4,1503,15,3
A1,6,1505,142,3
A1,7,1506,336,3
A1,8,1507,88,3
A1,9,1508,73,3
A1,10,1509,733A,3
A2,1,1510,38,3
A2,3,1512,523,3
A2,4,1513,524,3
A2,5,1514,201,3
A2,6,1515,65,3
A2,7,1516,209,3
A2,8,1517,189,3
A2,9,1518,513,3
A3,1,1520,539,3
A3,2,1521,101,3
A3,3,1522,714A,3
A3,4,1523,78,3
A3,5,1524,32,3
A3,6,1525,148B,3
A3,8,1526,417,3
A3,9,1527,5,3
A3,10,1528,317,3
A4,1,1529,476,3
A4,2,1530,48,3
A4,3,1531,242,3
A4,4,1532,219,3
A4,5,1533,7A,3
A4,6,1534,38,3
A4,7,1535,248,3
A4,8,1536,194,3
A4,9,1537,722A,3
A4,10,1538,476,3
A5,1,1539,6A,3
A5,2,1540,372,3
A5,3,1541,522,3
A5,4,1542,88,3
A5,5,1543,225,3
A5,6,1544,87,3
A5,7,1545,192C,3
A5,8,1546,80,3
A5,9,1547,230,3
A5,10,1548,C,3
A6,1,1549,154,3
A6,2,1550,17,3
A6,3,1551,C,3
A6,4,1552,43,3
A6,5,1553,C,3
A6,6,1554,C,3
A6,7,1555,73,3
A6,8,1556,88,3
A6,9,1557,88,3
A6,10,1558,476,3
A7,1,1559,231,3
A7,2,1560,14,3
A7,3,1561,322,3
A7,4,1562,C,3
A7,5,1563,71,3
A7,6,1564,93,3
A7,7,1565,373,3
A7,8,1566,762A,3
A7,9,1567,C,3
A7,10,1568,79,3
A8,1,1569,714B,3
A8,2,1570,C,3
A8,3,1571,C,3
A8,4,1572,336,3
A8,5,1573,123,3
A8,6,1574,758A,3
A8,7,1575,59,3
A8,8,1576,72,3
A8,9,1577,5,3
A8,10,1578,191,3
A9,1,1579,522,3
A9,2,1580,318,3
A9,3,1581,86,3
A9,4,1582,121,3
A9,5,1583,144A,3
A9,6,1584,89,3
A9,7,1585,90A,3
A9,8,1586,276,3
A9,9,1587,59,3
A9,10,1588,335,3
A10,1,1589,21,3
A10,2,1590,42,3
A10,3,1591,285,3
A10,4,1592,183,3
A10,5,1593,65,3
A10,6,1594,36,3
A10,7,1595,702A,3
A10,8,1596,27,3
A10,9,1597,533,3
A10,10,1598,89,3
A11,1,1599,46,3
A11,2,1600,157,3
A11,3,1601,276,3
A11,4,1602,243B,3
A11,5,1603,246,3
A11,6,1604,C,3
A11,8,1605,524,3
A11,9,1606,319,3
A11,10,1607,508,3
A12,1,1608,42,3
A12,2,1609,6B,3
A12,3,1610,215,3
A12,4,1611,C,3
A12,5,1612,158A,3
A12,6,1613,87,3
A12,7,1614,57,3
A12,8,1615,748A,3
A12,9,1616,145,3
A12,10,1617,205,3
A13,1,1618,733A,3
A13,2,1619,35,3
A13,3,1620,176B,3
A13,4,1621,557,3
A13,5,1622,89,3
A13,6,1623,746A,3
A13,7,1624,530,3
A13,8,1625,261,3
A13,9,1626,114,3
A13,10,1627,154,3
A14,1,1628,C,3
A14,2,1629,220,3
A14,3,1630,C,3
A14,4,1631,78,3
A14,5,1632,174,3
A14,6,1633,726A,3
A14,7,1634,726B,3
A14,8,1635,82,3
A14,9,1636,5,3
A14,10,1637,406,3
B1,2,1639,335,3
B1,3,1640,733B,3
B1,4,1641,386,3
B1,5,1642,83,3
B1,6,1643,7B,3
B1,7,1644,40,3
B1,8,1645,342,3
B1,9,1646,221,3
B1,10,1647,89,3
B2,1,1648,205,3
B2,2,1649,183,3
B2,3,1650,259,3
B2,4,1651,541,3
B2,6,1653,755A,3
B2,7,1654,373,3
B2,8,1655,144B,3
B2,9,1656,82,3
B2,10,1657,243B,3
B3,1,1658,278,3
B3,2,1659,701B,3
B3,3,1660,84,3
B3,4,1661,498,3
B3,5,1662,176A,3
B3,6,1663,319,3
B3,8,1665,755B,3
B3,9,1666,141,3
B3,10,1667,176A,3
B4,1,1668,21,3
B4,2,1669,17,3
B4,3,1670,192D,3
B4,4,1671,194,3
B4,5,1672,746B,3
B4,6,1673,717A,3
B4,7,1674,749C,3
B4,8,1675,238,3
B4,9,1676,277,3
B4,10,1677,557,3
B5,1,1678,205,3
B5,2,1679,15,3
B5,3,1680,726A,3
B5,4,1681,325,3
B5,5,1682,200,3
B5,6,1683,726A,3
B5,7,1684,762A,3
B5,8,1685,33,3
B5,9,1686,C,3
B5,10,1687,69,3
B6,3,1690,C,3
B6,4,1691,78,3
B6,5,1692,710A,3
B6,6,1693,476,3
B6,7,1694,372,3
B6,8,1695,757A,3
B6,9,1696,34,3
B6,10,1697,158A,3
B7,1,1698,286,3
B7,2,1699,48,3
B7,3,1700,216,3
B7,4,1701,205,3
B7,5,1702,C,3
B7,6,1703,C,3
B7,7,1704,261,3
B7,8,1705,421,3
B7,9,1706,114,3
B7,10,1707,16,3
B8,1,1708,8,3
B8,2,1709,16,3
B8,3,1710,141,3
B8,4,1711,42,3
B8,5,1712,C,3
B8,6,1713,710B,3
B8,8,1714,749C,3
B8,9,1715,146,3
B8,10,1716,C,3
B9,1,1717,25B,3
B9,2,1718,216,3
B9,3,1719,761A,3
B9,4,1720,123,3
B9,5,1721,46,3
B9,6,1722,117B,3
B9,7,1723,144B,3
B9,8,1724,25B,3
B9,9,1725,422,3
B9,10,1726,204,3
B10,1,1727,40,3
B10,2,1728,57,3
B10,3,1729,79,3
B10,4,1730,C,3
B10,5,1731,7A,3
B10,6,1732,6B,3
B10,7,1733,191,3
B10,8,1734,724A,3
B10,9,1735,C,3
B10,10,1736,C,3
B11,1,1737,540,3
B11,2,1738,26,3
B11,3,1739,525,3
B11,4,1740,121,3
B11,5,1741,417,3
B11,6,1742,34,3
B11,7,1743,90A,3
B11,8,1744,25A,3
B11,9,1745,92,3
B11,10,1746,40,3
B12,1,1747,177,3
B12,2,1748,384,3
B12,3,1749,247,3
B12,4,1750,146,3
B12,5,1751,748A,3
B12,6,1752,90A,3
B12,7,1753,533,3
B12,8,1754,248,3
B12,9,1755,40,3
B12,10,1756,749A,3
B13,1,1757,C,3
B13,2,1758,184,3
B13,3,1759,C,3
B13,4,1760,154,3
B13,5,1761,230,3
B13,6,1762,93,3
B13,7,1763,66,3
B13,8,1764,10,3
B13,9,1765,101,3
B13,10,1766,C,3
B14,1,1767,746A,3
B14,2,1768,174,3
B14,3,1769,325,3
B14,4,1770,C,3
B14,5,1771,C,3
B14,6,1772,14,3
B14,7,1773,35,3
B14,8,1774,724A,3
B14,9,1775,382,3
B14,10,1776,83,3
C1,1,1777,192D,3
C1,2,1778,145,3
C1,3,1779,C,3
C1,4,1780,123,3
C1,5,1781,6B,3
C1,6,1782,739A,3
C1,7,1783,C,3
C1,8,1784,726B,3
C1,9,1785,83,3
C1,10,1786,59,3
C2,1,1787,39,3
C2,2,1788,508,3
C2,3,1789,219,3
C2,4,1790,9,3
C2,5,1791,21,3
C2,6,1792,246,3
C2,7,1793,225,3
C2,8,1794,65,3
C2,9,1795,169,3
C2,10,1796,757C,3
C3,1,1797,701B,3
C3,2,1798,C,3
C3,3,1799,C,3
C3,4,1800,26,3
C3,5,1801,5,3
C3,6,1802,90A,3
C3,7,1803,539,3
C3,8,1804,201,3
C3,9,1805,97,3
C3,10,1806,386,3
C4,1,1807,17,3
C4,2,1808,740A,3
C4,3,1809,169,3
C4,4,1810,317,3
C4,5,1811,C,3
C4,6,1812,242,3
C4,7,1813,C,3
C4,8,1814,243A,3
C4,9,1815,406,3
C4,10,1816,53,3
C5,1,1817,243A,3
C5,2,1818,C,3
C5,3,1819,177,3
C5,4,1820,522,3
C5,5,1821,25B,3
C5,6,1822,286,3
C5,7,1823,C,3
C5,8,1824,6B,3
C5,9,1825,192C,3
C5,10,1826,157,3
C6,1,1827,C,3
C6,2,1828,524,3
C6,3,1829,176B,3
C6,4,1830,67,3
C6,5,1831,259,3
C6,6,1832,319,3
C6,7,1833,277,3
C6,8,1834,762A,3
C6,9,1835,148A,3
C6,10,1836,42,3
C7,1,1837,34,3
C7,2,1838,317,3
C7,3,1839,525,3
C7,4,1840,320,3
C7,5,1841,420,3
C7,6,1842,62,3
C7,7,1843,85,3
C7,9,1845,141,3
C7,10,1846,8,3
C8,1,1847,C,3
C8,2,1848,514,3
C8,3,1849,303,3
C8,4,1850,245,3
C8,5,1851,54,3
C8,6,1852,746A,3
C8,7,1853,16,3
C8,9,1855,303,3
C8,10,1856,71,3
C9,1,1857,221,3
C9,2,1858,59,3
C9,3,1859,62,3
C9,4,1860,755A,3
C9,5,1861,79,3
C9,6,1862,749B,3
C9,7,1863,247,3
C9,8,1864,144B,3
C9,9,1865,54,3
C9,10,1866,38,3
C10,1,1867,80,3
C10,2,1868,78,3
C10,3,1869,215,3
C10,4,1870,204,3
C10,5,1871,C,3
C10,6,1872,80,3
C10,7,1873,41,3
C10,8,1874,158B,3
C10,9,1875,C,3
C11,1,1877,46,3
C11,2,1878,C,3
C11,3,1879,C,3
C11,4,1880,722B,3
C11,5,1881,18,3
C11,6,1882,144B,3
C11,7,1883,54,3
C11,8,1884,148B,3
C11,9,1885,31,3
C11,10,1886,420,3
C12,1,1887,243B,3
C12,2,1888,342,3
C12,3,1889,43,3
C12,4,1890,C,3
C12,5,1891,97,3
C12,6,1892,258,3
C12,7,1893,117B,3
C12,8,1894,215,3
C12,9,1895,121,3
C12,10,1896,281,3
C13,1,1897,32,3
C13,2,1898,248,3
C13,3,1899,31,3
C13,4,1900,48,3
C13,5,1901,C,3
C13,6,1902,62,3
C13,7,1903,753A,3
C13,8,1904,144A,3
C13,9,1905,148B,3
C13,10,1906,65,3
C14,1,1907,66,3
C14,2,1908,C,3
C14,3,1909,325,3
C14,4,1910,53,3
C14,5,1911,358,3
C14,6,1912,320,3
C14,7,1913,C,3
C14,8,1914,739A,3
C14,9,1915,194,3
C14,10,1916,67,3
D1,1,1917,146,3
D1,2,1918,749B,3
D1,3,1919,148A,3
D1,4,1920,358,3
D1,5,1921,526,3
D1,6,1922,749C,3
D1,7,1923,174,3
D1,8,1924,154,3
D1,9,1925,192D,3
D1,10,1926,39,3
D2,1,1927,43,3
D2,2,1928,540,3
D2,3,1929,86,3
D2,4,1930,530,3
D2,5,1931,142,3
D2,6,1932,409,3
D2,7,1933,9,3
D2,8,1934,189,3
D2,9,1935,90B,3
D2,10,1936,199,3
D3,1,1937,386,3
D3,2,1938,7B,3
D3,3,1939,C,3
D3,4,1940,26,3
D3,5,1941,90B,3
D3,6,1942,335,3
D3,7,1943,84,3
D3,8,1944,220,3
D3,9,1945,C,3
D3,10,1946,245,3
D4,1,1947,219,3
D4,2,1948,34,3
D4,3,1949,525,3
D4,4,1950,86,3
D4,5,1951,714A,3
D4,6,1952,174,3
D4,7,1953,C,3
D4,8,1954,184,3
D4,9,1955,72,3
D4,10,1956,145,3
D5,1,1957,753A,3
D5,2,1958,83,3
D5,3,1959,183,3
D5,4,1960,313,3
D5,5,1961,40,3
D5,6,1962,93,3
D5,7,1963,41,3
D5,8,1964,24,3
D5,9,1965,36,3
D5,10,1966,C,3
D6,1,1967,39,3
D6,2,1968,757A,3
D6,3,1969,176A,3
D6,4,1970,755B,3
D6,5,1971,8,3
D6,6,1972,66,3
D6,7,1973,746B,3
D6,8,1974,336,3
D6,9,1975,10,3
D6,10,1976,57,3
D7,1,1977,101,3
D7,2,1978,C,3
D7,3,1979,206,3
D7,4,1980,209,3
D7,5,1981,84,3
D7,6,1982,281,3
D7,7,1983,C,3
D7,8,1984,169,3
D7,9,1985,303,3
D7,10,1986,191,3
D8,1,1987,508,3
D8,2,1988,177,3
D8,3,1989,C,3
D8,4,1990,C,3
D8,5,1991,221,3
D8,6,1992,422,3
D8,7,1993,39,3
D8,8,1994,258,3
D8,9,1995,C,3
D8,10,1996,313,3
D9,1,1997,533,3
D9,2,1998,722B,3
D9,3,1999,157,3
D9,4,2000,C,3
D9,5,2001,409,3
D9,6,2002,714B,3
D9,7,2003,757C,3
D9,8,2004,92,3
D9,9,2005,476,3
D9,10,2006,C,3
D10,1,2007,114,3
D10,2,2008,189,3
D10,3,2009,157,3
D10,4,2010,318,3
D10,5,2011,14,3
D10,6,2012,79,3
D10,7,2013,84,3
D10,8,2014,259,3
D10,9,2015,146,3
D10,10,2016,199,3
D11,1,2017,514,3
D11,2,2018,73,3
D11,3,2019,18,3
D11,4,2020,199,3
D11,5,2021,748B,3
D11,6,2022,189,3
D11,7,2023,539,3
D11,8,2024,726B,3
D11,9,2025,733A,3
D11,10,2026,285,3
D12,1,2027,384,3
D12,2,2028,216,3
D12,3,2029,184,3
D12,4,2030,144A,3
D12,6,2032,710B,3
D12,8,2034,182,3
D12,9,2035,192D,3
D12,10,2036,15,3
D13,1,2037,523,3
D13,2,2038,373,3
D13,3,2039,86,3
D13,4,2040,18,3
D13,5,2041,25A,3
D13,6,2042,57,3
D13,7,2043,176B,3
D13,8,2044,33,3
D13,9,2045,191,3
D13,10,2046,406,3
D14,1,2047,372,3
D14,2,2048,C,3
D14,3,2049,733B,3
D14,4,2050,322,3
D14,5,2051,87,3
D14,6,2052,26,3
D14,7,2053,71,3
D14,8,2054,72,3
D14,9,2055,342,3
